𠆭	⿳亼一α
𬻵	⿱𠚤⿻⿻コ一⿻⿰丨丨⿰丿乀
𬻼	⿰⿺⿺⿱𠃍一𠄌丶⿸⿰⿱𠃍一𠄌⿱丿乀
𬾹	⿰亻⿱丷⿻⿻コ一⿻⿰丨丨⿰丿乀
𭁐	⿳𠂉一⿻⿻コ一⿻⿰丨丨⿰丿乀
𭐥	⿱⿳𠂉⿴⿰丨丨⿱一一一夂
𭚓	⿺廴⿷⿱丿𠄌⿺丿乀
𭜳	⿳⿻⿸⿱一丨一丨彐心
𭣪	⿰⿸厂⿺⿺⿱𠃍一𠄌丶攵
𭦢	⿱日⿰⿹⿱丿亅⿱丿丿斤
𭩟	⿱木⿰⿱丨㇀人
𭪚	⿰木⿱一⿻口⿻⿰丨丨⿰丿乀
𭬢	⿱⿰⿱⿻⿰丨丨⿰丶丿医殳木
𭱎	⿰氵⿱⿻⿰丨丨⿰丶丿⿵冂山
𭱩	⿰氵⿱⿻⿰丨丨⿰丶丿両
𭱪	⿰氵⿱⿻⿰丨丨⿰丶丿⿵冂水
𭱽	⿰氵⿱⿻⿰丨丨⿰丶丿⿻⿵冂丨从
𭲞	⿰氵⿱⿻⿰丨丨⿰丶丿⿻帀𠓜
𭴺	⿳一⿹⿰⿱丿亅⿱丿乀口灬
𭹅	⿰王⿻⿲丨⿱㇍丨𠃌一
𮂔	⿰礻⿳亠⿴⿰丨丨⿱一一田
𮕋	⿰虫⿱罒⿰⿰三㇓⿺乚⿺⿺⿱𠃍一𠄌丶
𮞅	〾⿺辶⿷⿱丿𠄌⿺丿乀
𮨇	⿰⿸厂⿺⿺⿱𠃍一𠄌丶頁
𮭹	⿱⿰丙丙⿸厂⿻コ⿻⿰丨丨⿰丿乀
惇	⿰忄⿳亠⿴⿰丨丨⿱一一子
福	⿰礻⿳一⿴⿰丨丨⿱一一田
免	⿱𠂊⿻口儿
兎	⿱丿⿷⿻口儿丶
其	⿱⿱⿵卄二一八
剆	⿰⿱丶⿺⿰彐𠄌丶刂
勆	⿰⿱丶⿺⿰彐𠄌丶力
匓	⿹勹⿰⿺⿰彐𠄌丶殳
即	⿰⿺⿰彐𠄌丶卩
卿	⿲𠂎⿺⿰彐𠄌丶卩
叚	⿰⿸⿰⿱𠃍一丨二⿱コ又
帶	⿳⿻廿儿冖巾
廄	⿸广⿰⿺⿰彐𠄌丶殳
既	⿰⿺⿰彐𠄌丶旡
朗	⿰⿱丶⿺⿰彐𠄌丶月
枾	⿰木⿻十⿴⿰丿丨一
欴	⿰⿱丶⿺⿰彐𠄌丶欠
段	⿰⿻⿸⿱丿丨二㇀殳
甚	⿱⿵卄二匹
眔	⿱罒⿻丨⿱八八
莵	⿱艹⿷⿱丿⿻口儿丶
郎	⿰⿱丶⿺⿰彐𠄌丶阝
郒	⿰⿱丶⿺⿰彐𠄌丶邑
郷	⿲乡⿺⿰彐𠄌丶阝
飠	⿱人⿱丶⿺⿰彐𠄌丶
骨	⿱⿱⿵⿰丨𠃍𠃍冖月
鵖	⿰⿺⿰彐𠄌丶鳥
䑓	⿳⿵卄二冖至
䫀	⿰⿺⿰彐𠄌丶頁
郎	〾⿰⿱丶⿺⿰彐𠄌丶阝
免	⿱刀⿻口儿
朗	〾⿰⿱丶⿺⿰彐𠄌丶月
爵	⿳爫罒⿰⿺⿰彐𠄌丶寸
𠀪	⿱⿱⿵卄二一丶
𠀫	⿱⿱⿵卄二一丿
𠃈	⿰⿻⿸⿱丿丨二㇀⿱⿱屮兀⿰⿱屮兀⿱屮兀
𠅴	⿳亠⿰⿺⿰彐𠄌丶卂土
𠒅	⿱⿶凵⿰⿱𠃍一⿱一𠃊儿
𠕲	⿵冂⿰⿰⿳二二丨⿳二二丨⿰⿳二二丨⿳二二丨
𠘄	⿰冫⿱人⿰⿱丶⿺⿰彐𠄌丶攵
𠚜	⿶⿱⿶凵凵⿰一一舀
𠚞	⿶⿶凵⿰⿱𠃍一⿱一𠃊𭶰
𠭊	⿰⿸⿱丿丨三⿱彐又
𠰜	⿰口〾乎
𠴅	⿳二⿻丨⿱八八口
𡂶	⿰⿸⿰⿱𠃍一丨二⿳口曲日
𡔝	⿱士⿸⿰𠃍㇓⿰𠃎𠃊
𡖥	⿲夕⿺⿰彐𠄌丶阝
𡬠	⿰⿸⿰⿱𠃍一丨二寸
𡺒	⿸屵⿱亠⿸⿰⿱𠃍一𠄌⿱丿乀
𢀯	⿵⿱⿰一⿱⿱丨一㇓⿱𠃊𠄌⿱䀠工
𢀰	⿵⿱⿰一⿱⿱丨一丨⿱𠃊丨⿱䀠仝
𢂸	⿱⿻廿儿帀
𢑛	⿳彑⿱丿丿⿻丨⿱八八
𢒦	⿰⿱占⿻丨⿱八八彡
𢒭	⿰⿳⺊目⿻丨⿱八八彡
𢻀	⿰⿸⿰⿱𠃍一丨二支
𢼖	⿰⿸⿰⿱𠃍一丨二攴
𣁩	⿱⿲木文木⿱冖⿰⿺⿰彐𠄌丶龴
𣂞	⿰⿱丶⿺⿰彐𠄌丶斤
𣆜	⿰日⿺𠃊⿲㇎一丨
𣍔	〾⿰⿻⿸⿱丿丨二㇀⿳口曲日
𣑍	⿱⿱⿵⿰丨𠃍⿱一丨冖木
𣟜	⿱林⿸广⿰⿱丶⿺⿰彐𠄌丶寸
𣠫	⿳棥冖⿰⿺⿰彐𠄌丶阝
𣡜	⿳棥冖⿰⿺⿰彐𠄌丶井
𣡨	⿳⿰杉木罒⿰⿺⿰彐𠄌丶阝
𣢣	⿰⿺⿰彐𠄌丶欠
𤅯	⿰氵⿱木⿸⿰⿱⿻𠃍⿰丨丨一㇓⿰⿱⿴囗𠂭匕又
𤔞	⿱爫⿻⿻口乚⿰𠂎厶
𤔼	〾⿶⿶凵⿰⿱𠃍一⿱一𠃊𭶰
𤕈	⿱爫⿲呂⿳⿰𡿨𠃍⿰𡿨𠃍丨呂
𤕋	⿱⿺⿰⿻丨丷丿𠃊⿹⺄⿳爫⿱⿹𠃍工匞白
𤟶	⿰⿱⿱⿱𠃍一⿰丨⿱𠃍一月犬
𤧨	⿲王⿺⿰彐𠄌丶阝
𤹛	⿸疒⿱⿱⿵卄二一心
𤽪	⿰白⿱丿⿻口儿
𥐃	⿲⿱矢止⿸⿰⿱𠃍一丨二亏
𥙥	⿰礻⿱⿻⿱⿱𠃍一𠃊𠃍一
𥡼	⿰禾⿱⿸⿰⿱⿱丿𠃍一丨一而
𥥢	⿱穴⿸⿱⿻⿱一𠃊丨㇀丶
𥰐	⿱竹⿰⿺⿰彐𠄌丶帀
𦂰	⿲糹⿻⿸⿱丿丨二㇀⿱匕又
𦄖	⿰糹⿱⿱⿱⿱⿱一⿰丨丨一𠃍𠃊冭
𦔀	⿰耒⿱⿺⿰彐𠄌丶又
𦣤	⿰𦣞⿱⿱𠃍一⿰丨⿱𠃍一
𦫍	⿰⿱丶⿺⿰彐𠄌丶开
𦫏	⿰⿱丶⿺⿰彐𠄌丶并
𦭅	⿱艹⿻丨⿱八八
𦵍	⿱艹⿰⿻⿸⿱丿丨二㇀攵
𧀳	⿱艹⿰镸⿻⿻コ一⿻丨⿱八八
𧎟	⿲虫⿺⿰彐𠄌丶阝
𧒤	⿱⿱⿵卄二⿵冂虫虫
𧰧	⿱一⿰⿹⿸⿱一丿亅丿⿱丿乀
𧿗	⿰⿰⿹⿸丿亅丿⿱丿乀足
𨕉	⿺辶⿰⿻⿸⿱丿丨二㇀⿱匕又
𨖏	⿺辶⿰⿱⺊⿺⿰彐𠄌丶殳
𨘅	⿺辶⿰豸⿸⿰⿱𠃍一丨二
𨜊	⿲𠂎⿺⿰彐𠄌丶阝
𨟧	⿰⿳爫罒⿰⿺⿰彐𠄌丶木阝
𩄹	⿱雨⿰⿺⿰彐𠄌丶月
𩈠	⿺⿱丿⿻口儿面
𩐊	⿰⿻十⿴⿰丿丨一⿱次韭
𩜝	⿰飠⿱⿻⿱一⿰丨丨⿰丨𠃍女
𩰧	⿰⿱木⿸⿴尸⿰丨丨鬯彡
𪂗	⿱⿰尸⿸⿱亠亻丶鳥
𪠪	⿰⿸⿰⿱𠃍一丨二㕛
𫅞	⿰⿱丶⿺⿰彐𠄌丶善
𫕕	⿰阝⿱⿵卄二冏
𫝕	⿸厂⿸⿰⿱𠃍一𠄌⿱丿乀
𫞪	⿱⿵卄二区
𫨻	〾⿰⿸⿰⿱𠃍一丨二殳
𬆣	⿰⿱丿⿸⿰⿱𠃍一丨二殳
𬿬	⿲亻⿸⿰⿱𠃍一丨二⿱龴疋
𭀠	⿱𠂉⿻口儿
𭀣	⿱𠂉⿷⿻口儿丶
𭀥	⿱𠂉⿷⿻口儿厶
𭅺	⿰⿱丶⿺⿰彐𠄌丶卩
𭇩	⿰口⿹⿷⿱⿺⿱丿一丨㇉一一
𭏍	⿰土⿱⿱⿵卄二一勿
𭐢	⿱⿱⿵卄二一夂
𭕿	⿱丿⿸⿱⿻凵丨㇀丶
𭙫	⿸广⿰𢆉⿸⿰⿱𠃍一𠄌⿱丿乀
𭫍	⿲木⿸⿰⿱𠃍一丨二反
𭬺	⿱一⿰巢⿱⿱⿵⿰丨𠃍⿻丶丿冖夫
𭭡	⿱⿱⿵卄二一止
𭺺	⿱⿱⿵卄二一用
𭻊	⿱田⿰⿹⿱丿亅丿⿱丿乀
𮊖	⿳网⿰⿸⿰⿱𠃍一丨二又火
𮏸	⿱艹⿳人丿⿷⿻口儿丶
𮑩	⿳艹⿱丿⿻口儿⿱丿⿻口儿
𮗇	⿱覀⿰⿱丶⿺⿰彐𠄌丶⿱丶⿺⿰彐𠄌丶
𮜟	⿻广⿱⿰耒⿸⿰⿱𠃍一𠄌⿱丿乀足
𮠊	⿰⿱⿱⿵⿰丨𠃍⿱一丨冖言阝
𮫗	⿱木⿸⿻尸⿰丨丨⿰鬯又
𮫙	⿱⿵卄二⿵冂𢆉
免	〾⿱刀⿻口儿
卿	⿲𠂎⿱丶⿺⿰彐𠄌丶卩
舄	⿱臼⿹㇉灬
亞	⿳一⿰⿱𠃎𠃑⿳𠃑一丨一
典	⿱⿱⿻⿰丨𠃍艹一八
垂	⿳丿⿻⿻二艹丨一
壺	⿱士⿳冖⿰⿱𠃎𠃑⿳𠃑一丨一
烏	⿹⿷⿺⿱⿱丿𠃍一㇉一灬
臦	⿰〾臣臣
虛	⿸虍⿱⿲𠃊⿰丨丨𠃎一
馬	〾⿹⿺⿻⿱一丨二㇉灬
並	⿱䒑⿱⿲𠃊⿰丨丨𠃎一
𠁅	⿸⿻王⿰乛㇓匆
𠂶	⿹⿷⿺⿱⿱丿𠃍一㇉一⿰一丿
𠉙	⿱亼⿻⿱一冂卄
𠌆	⿱全⿰⿰⿱一𠃊㇓⿰⿱𠃍一丨
𠓳	⿳入王⿰⿰⿱一𠃊㇓⿰⿱𠃍一丨
𠙖	⿱⿰冫⿺⿻⿱一丨二㇉几
𠙚	⿸⿻王⿰乛㇓処
𠤛	⿱匕⿻⿰⿱𠃎𠃑⿳𠃑一丨一
𠤞	⿱旨⿵⿱丶⿱冂⿱一一⿱一丨
𠤺	⿷匚⿰⿱⿱丿丿𠄌⿺⿱丿丿乀
𠩐	⿸厂⿸⿸⿱一𠄌二⿱丿乀
𠫩	⿱厶⿻⿻口丨八
𠭝	⿸⿰尸⿱𠃊⿱一丿反
𡁖	⿰口⿱⿱⿲𠃊⿰丨丨𠃎一𦍎
𡔲	⿱士⿱⿻口⿰⿱𠃎𠃑⿳𠃑一丨一
𡔳	⿳士冖⿱⿻一⿰⿱𠃎𠃑⿳𠃑一丨一
𡔾	⿱⿳士冖一⿳口⿰⿱𠃎𠃑⿳𠃑一丨一
𡭳	⿹⿺⿻⿱一丨二㇉小
𡿹	⿱巛⿻⿶口凵丨
𢃵	⿳⿰⿻⿱丿𠃊一⿻⿱𠃍一一𠂊巾
𢍐	⿱⿱一⿰⿱𠃎𠃑⿳𠃑一丨廾
𢏽	⿰⿷⿱⿱⿺一𠃑一𠄌⿱丶丶⿹弓冫
𢴶	⿰扌⿳亠⿺⿻⿱一丨二㇉𧘇
𣄟	⿰方⿱⿻一中⿳冖⿰⿱𠃎𠃑⿳𠃑一丨一
𣇅	⿳日一⿰⿱𠃎𠃑⿳𠃑一丨
𣊜	⿱日⿵⿻⿱⿰⿱丿丨𠃍一八仌
𣝄	⿰木⿱⿻一中⿳冖⿰⿱𠃎𠃑⿳𠃑一丨一
𣞛	⿲木⿵⿱丿月㇀㚇
𣤼	⿰⿳士⿱一⿰⿱𠃎𠃑⿳𠃑一丨亞欠
𣦄	⿳止八⿱⿲𠃊⿰丨丨𠃎一
𣺏	⿰氵⿱龷⿻⿴⿻冂丨丿人
𤓑	⿱⿰⿱⿱⿵⿰丨𠃍⿱一丨冖目易灬
𤡼	⿰犭⿳一⿰⿱𠃎𠃑⿳𠃑一丨田
𦖂	⿰耳⿱一⿰⿱𠃎𠃑⿳𠃑一丨
𦣩	⿰臣〾臣
𦥮	⿱⿱⿰⿱丿𠃊⿱𠃍一⿰丨丨𦥑
𦦴	⿱⿻𦥑⿱⿵⿰丨𠃍⿱一丨冖⿳一由八
𦬝	⿱艹⿻十⿰⿱𠃎丨𠃑
𦮙	〾⿱艹⿰⿱⿱〾⿹⿻𠃍一一〾⿹⿻𠃍一一〾⿹⿻𠃍一一〾⿹⿻𠃍一一
𦷣	⿳艹日⿵⿱丶⿱冂⿱一一⿱一丨
𧊨	⿰虫⿻⿻冂二二
𧠀	⿸⿻⿱一⿰丨丨尸敢
𧧛	⿰言⿻⿻冂二二
𧪺	⿰言⿱亼⿻⿻⿲丨丨丨⿱一一⿰丨丨
𩅎	⿱雷⿰⿰⿱一𠃊㇓⿰⿱𠃍一丨
𩑄	⿰音⿱⿱⿲𠃊⿰丨丨𠃎一𦍎
𩗠	⿺風⿱一⿰⿱𠃎𠃑⿳𠃑一丨
𩡧	⿹⿺⿻⿱一丨二㇉卌
𩣌	⿰馬⿱⿲𠃊⿰丨丨𠃎一
𩤷	⿰馬⿱一⿰⿱𠃎𠃑⿳𠃑一丨
𪊩	⿸鹿⿻⿻⿳一一一⿰丨丨丨
𪎍	⿺⿻三夊卜
𪔂	⿻目⿰⿳𠃑一丿⿳𠃎𠃊𠃌
𪦾	⿳子⿱⿲𠃊⿰丨丨𠃎一八
𫠉	⿹⿺⿻⿱一丨二㇉一
𫷛	⿳幵⿱⿲𠃊⿰丨丨𠃎一八
𬁧	⿳日⿱⿲𠃊⿰丨丨𠃎一八
𬐧	⿳皿⿱⿲𠃊⿰丨丨𠃎一八
𬗜	⿰糹⿱丿⿻⿻⿳一一一⿰丨丨丨
𬥟	⿳貝⿱⿲𠃊⿰丨丨𠃎一八
𬲖	⿳食⿱⿲𠃊⿰丨丨𠃎一八
𭄀	⿰⿳八一⿱⿲𠃊⿰丨丨𠃎㇀刃
𭅍	⿸⿻王⿰乛㇓⿻勿㐅
𭇢	⿸⿻王⿰乛㇓口
𭐣	⿱⿻⿻⿻⿰丿一⿰丨丨一一夂
𭞐	⿸⿻王⿰乛㇓思
𭟾	⿰⿸⿻王⿰乛㇓豆戈
𭣞	⿰⿳十罒⿰⿱丿𠄌⿺⿱丿丿乀支
𭸣	⿰⿸⿻王⿰乛㇓用犬
𭸮	⿰⿸⿻王⿰乛㇓⿱口用犬
𭾐	⿸⿻王⿰乛㇓⿱田皿
𮐣	⿱艹⿸⿻王⿰乛㇓处
𮓘	⿸⿻王⿰乛㇓匕
𮓙	⿸⿻王⿰乛㇓几
𮓜	⿸⿻王⿰乛㇓巾
𮓡	⿸⿻王⿰乛㇓业
𮓥	⿸⿻王⿰乛㇓吴
𮓩	⿰⿸⿻王⿰乛㇓⿱⿲𠃊⿰丨丨𠃎㇀𠔃
𮕹	⿹⿺⿻⿱一丨二㇉衣
𮙟	⿸⿻王⿰乛㇓豕
𮙢	⿰冫⿹⿺⿻⿱一丨二㇉豖
𮩴	⿹⿺⿻⿱一丨二㇉廾
𮩵	⿹⿺⿻⿱一丨二㇉巾
𮩸	⿹⿺⿻⿱一丨二㇉中
𮬁	⿰魚⿸广⿰⿱⿻⿱𠃍一⿰丨丨㇀丶
即	⿰⿸⿰⿱𠃍二丨二卩
晉	⿳一⿱⿲𠃊⿰丨丨𠃎一日
黹	⿱⿱⿲𠃊⿰丨丨𠃎一㡀
島	⿹⿷⿺⿱⿱丿𠃍二㇉一山
崋	⿱山⿻⿻二艹十
巤	⿳巛龱⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
梟	⿹⿷⿺⿱⿱丿𠃍二㇉一木
華	⿱艹⿻⿻二艹十
裊	⿹⿷⿺⿱⿱丿𠃍二㇉一衣
鬛	⿳髟龱⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
鳥	⿹⿷⿺⿱⿱丿𠃍二㇉一灬
鳬	⿹⿷⿺⿱⿱丿𠃍二㇉一几
鼠	⿱臼⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
龍	⿰𦚏⿺⿳⿺一𠃑一乚三
㡣	⿰帝⿺⿳⿺一𠃑一乚三
㳤	⿰氵⿻⿻⿻⿻廾丶丶丶丶
龍	〾⿰𦚏⿺⿳⿺一𠃑一乚三
𠁲	⿰⿰丨⿳⿱𠃍一⿱𠃍一⿱𠃍一井
𠒎	⿹⿷⿺⿱⿱丿𠃍二㇉一儿
𠚖	⿶⿴⿱⿶凵凵⿰一一八王
𠝷	⿹⿷⿺⿱⿱丿𠃍二㇉一分
𠳧	⿰口⿺⿳⿺一𠃑一乚三
𡗇	⿺⿳巛𠔿⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶夕
𡟽	⿰女⿱⿱一⿰⿰丨⿱一𠃊⿰丨⿱𠃍一土
𢍒	⿱⿻⿱丿丨⿰⿱丿丿⿺⿱丿丿乀廾
𢍴	⿱⿰〾𦣞𦣞廾
𢤏	⿱⿻二⿰⿰丨⿱一𠃊⿰丨⿱𠃍一患
𢧹	⿹⿻止⿺⿻𠄌丿丶⿱𣥂木
𢧼	⿹⿻止⿺⿻𠄌丿丶宗
𣀴	⿱敞⿱冖⿻⿰乚丨⿰⿷⿱一𠃊一彐
𣁓	⿹⿷⿺⿱⿱丿𠃍二㇉一文
𤀴	⿰氵⿹⿷⿺⿱⿱丿𠃍二㇉一豕
𤔘	⿱爫⿴⿱⿰⿱丿丨𠃍一⿱二二
𤢪	⿰犭⿳巛𠔿⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𤢱	⿰犭⿱㝐⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𤨃	⿰王⿱⿱⿻卄二八口
𥉢	⿰目⿱⿳一⿰⿱𠃎𠃑⿳𠃑一丨一土
𥦐	⿱穴⿷⿻⿻工丨丨⿱𠃍一
𥦪	〾⿱穴⿷⿱一𠃊⿺⿳𠃑一丨𠃊
𥧈	⿱穴⿹⿷⿺⿱⿱丿𠃍二㇉一冫
𥨥	⿳穴臼⿻⿻⿲㇓丨𠄌⿱丶丶⿱丶丶
𦀱	⿰⿻⿻肀𠃊八糸
𦌂	⿳罒田⿻⿻二艹十
𦖶	⿰耳⿱⿺⿱⿵⿰⿱丿丨𠃍二一丶厶
𦡳	⿰月⿳巛𠔿⿻⿻⿲㇓丨𠄌⿱丶丶⿱丶丶
𦥢	⿱勹⿴⿱⿰⿱丿丨𠃍一⿱二二
𦥫	⿻千⿴⿱⿰⿱丿丨𠃍一⿱二二
𦥾	⿱屰⿴⿱⿰⿱丿丨𠃍一⿱二二
𦦊	⿰⿴⿱⿰⿱丿丨𠃍一⿱二二男
𦦓	⿳人⿻十𠬞⿴⿱⿰⿱丿丨𠃍一⿱二二
𦪴	⿰舟⿳巛𠔿⿻⿻⿲㇓丨𠄌⿱丶丶⿱丶丶
𦼤	⿳艹龱⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𧠅	⿰⿱西復邑
𧡉	⿺見⿻⿻⿻⿻廾丶丶丶丶
𧱠	⿰豕⿺⿳⿺一𠃑一乚三
𨖂	⿺辶⿹⿷⿺⿱⿱丿𠃍二㇉一口
𨸏	⿱丿⿰⿱㇓丨⿳⿱𠃍一⿱𠃍一⿱𠃍一
𨺅	⿰𨸏〾𨸏
𨼱	⿲𨸏夬〾𨸏
𨽄	⿲𨸏吏〾𨸏
𨽝	⿲𨸏⿱廿冄〾𨸏
𨽡	⿲𨸏㒸〾𨸏
𨽩	⿲𨸏冓〾𨸏
𨽴	⿲𨸏⿳⿱龷一⿰个个⿰个个〾𨸏
𨽵	⿲𨸏㸂〾𨸏
𩄩	⿱雨⿰犭⿻⿱飞飞㇓
𩮻	⿳髟𠔿⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𪀋	⿹⿷⿺⿱⿱丿𠃍二㇉一甲
𪂧	⿹⿷⿺⿱⿱丿𠃍二㇉一宛
𪆔	⿰焦⿹⿷⿺⿱⿱丿𠃍二㇉一火
𪗲	⿰⿱丷⿴口⿰二二令
𫠓	⿹⿷⿺⿱⿱丿𠃍二㇉一一
𫨢	⿸厂⿰⿱幺月⿺⿳⿺一𠃑一乚三
𬀽	⿱日⿻⿻二艹十
𬾘	⿰亻⿻⿱飞飞㇓
𬿻	⿰亻⿳⿺⿱⿻二中一丶一吋
𭄩	⿹⿷⿺⿱⿱丿𠃍二㇉一力
𭏬	⿰土⿱田⿻⿻二艹十
𭖲	⿳⿰⿰⿱一𠃊丨⿰丨⿱𠃍一人山
𭮖	⿰歹⿻⿱飞飞㇓
𭳘	⿰氵⿳亡罒⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𭿥	⿱䀠⿻⿻⿻二艹十一
𮃞	⿰禾⿱夂⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𮞽	⿺辶⿹⿷⿺⿱⿱丿𠃍二㇉一方
𮣨	⿰金⿳穴𠔿⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
𮫈	⿱髟⿻⿻⿲𠄌𠄌𠄌⿱丶丶⿱丶丶
壷	⿱士⿱冖⿻口⿱⿰丨丨一
夀	⿱⿱⿻⿱二乛中一吋
婁	⿱⿻⿻口十口女
專	⿱⿸⿱⿻⿱一日丨㇀丶寸
惠	⿱⿸⿱⿻⿱一日丨㇀丶心
戞	⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖戈
黑	⿱⿻⿴口丷土灬
鼎	⿶⿰⿹𠃑⿱一丿⿱𠃎⿸丨𠃍目
㥑	〾⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖心
㸃	⿱⿰⿻⿴口丷土占灬
䦄	⿰钅⿱⿸⿱⿻⿱一日丨㇀丶𧘇
𠢊	⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖八力
𠢘	⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖大力
𠢨	⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖火力
𠨦	⿰⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖几却
𠮕	⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖䖵又
𡒴	⿱⿰⿰⿱丿丨⿱彐彐豕土
𡝤	〾⿱⿻⿻口十口女
𡭏	⿱⿸⿱⿻⿱一日丨㇀丶⿰舌寸
𡮝	⿱龸⿻⿴口丷土
𡸭	⿱⿱⿱⿸⿹⿰𠃎㇎𠃊一⿰丨丨一山
𡸸	〾⿱⿸⿱⿻⿱一日丨㇀丶山
𢕶	⿰彳⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖一夂
𢜧	〾〾⿱⿻⿴口丷土心
𢡴	⿱⿰⿸⿱⿻⿱一日丨㇀丶予心
𢨋	⿱或〾或
𢮛	⿰扌⿸⿱⿻⿱一日丨㇀丶
𣁨	⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖拍文
𣇓	⿶⿰⿹𠃑⿱一丿⿱𠃎⿸丨𠃍日
𣊳	⿰日⿱⿻⿻千口二灬
𣒘	⿰木⿳一⿰⿰𠃎𠃊⿰𠃑一儿
𣡫	⿳木⿻⿻口⿰丨丨尸⿰鬯寸
𣦞	⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖⿰止攴
𤐈	⿱⿰土⿱𠂉⿻⿴口丷土火
𤛽	⿰牛⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖歧
𤣙	⿰犭⿳丷⿱⿵⿰⿱⿱一丿丨𠃍二冖政
𤫘	⿰王⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖⿲止几匕夂
𤬣	⿱⿴⿰⿸⿱丿丨三⿹𠃍三囟瓠
𤴝	⿱⿸⿱⿻⿱一日丨㇀丶疋
𦝏	⿰月⿸⿱⿻⿱一日丨㇀丶
𦱦	⿱艹⿻⿻千口二
𧹂	⿱⿰虎〾虎貝
𨷅	⿵門⿳⿻⿴口丷土儿土
𨼘	⿰阝⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖𠘬
𩃘	⿱雨⿸⿱⿻⿱一日丨㇀丶
𩆹	⿱雨⿶⿰⿹𠃑⿱一丿⿱𠃎⿸丨𠃍貟
𩇂	⿱雨⿶⿰⿹𠃑⿱一丿⿱𠃎⿸丨𠃍員
𪦗	⿰女⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖女
𫩄	⿱⿸⿱⿻⿱一日丨㇀丶収
𫫫	⿰口⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖夂
𬢆	⿱⿰虎〾虎見
𬹢	⿱⿸⿱⿻⿱一日丨㇀丶黽
𬻫	⿱⿻一中⿱冖⿻口⿱⿰丨丨一
𬿲	⿰亻⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖犮
𭈰	⿱⿻卄口⿱冖⿻口⿱⿰丨丨一
𭉿	⿰口⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖夕
𭋨	⿲口亻⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖友
𭭓	⿰⿱⿱⿵⿰⿱⿱一丿丨𠃍二冖夂欠
𭮴	⿰⿸⿸⿱丿㇓彐万殳
𮄣	⿱穴⿳龶罒⿻⿰三三儿
𮟚	⿺辶⿳⿱⿵⿰⿱⿱一丿丨𠃍二冖八方
𮠚	⿱𠂉⿵⿻⿱一⿰丨丨⿰丨𠃍二
畢	⿻⿻⿱日艹十一
𠩿	⿸厂⿻⿱日艹十
𡁘	⿱吅⿻⿱日艹十
𡩪	⿳宀一⿻⿻吕丨八
𢧟	⿹戈⿻⿻⿻⿻⿳⿳𠃍一𠃑一丿丨丶丶丶
𤔬	⿱爫⿵⿵⿻⿱口冂丨口又
𥣨	⿰⿳禾⿻コ一⿻コ一⿴⿻弓⿰乚丨又
𥻔	⿱米⿻⿻廿十廾
𨘶	⿺辶⿸⿻⿻⿱一丷卄尸比
𪔀	⿱⿰⿴敝丷攵黽
𫠕	⿸广⿱隹⿹⿺⿰⿰丿𠃍一㇉灬
𮗙	⿺見〾鬼
𠔰	⿱厸⿻典十
𠚡	⿶⿻⿻⿻⿶凵凵⿰一一⿰一一八舀
𣉦	⿱日⿻⿰㇓丨⿳⿰𠃎𠃊⿰一一⿰𠃍⿰一丨
𥼢	⿻米⿱艹⿻⿻⿻口十一八
𦆍	⿰糹⿸广⿱⿸車一人
𧀍	⿱艸⿶⿻⿻⿻⿶凵凵⿰一一⿰一一八王
𨪖	⿵⿻冂⿰王王金
𩁚	⿰⿱廿⿱⿻⿻⿻中一口一㇀隹
𮒮	⿱艹⿷⿹⿻口乚⿱彐冫貝
𡃬	⿱⿻⿳亠凵丨⿰口口⿵冂夻
𢺬	⿰扌⿱鹵⿱⿶⿱⿴口乂口凵丨
𦻍	⿳艹一⿻⿳八日八土
𨘒	⿺辶⿱⿱⿻⿻口十口木女
